0	68770	109
1	60764	193
2	58374	279
3	56908	363
4	56340	450
5	55965	538
6	55560	624
7	55667	715
8	55562	805
9	56461	910
10	56728	1008
11	56854	1103
12	56794	1196
13	56841	1291
14	56885	1387
15	56772	1479
16	56684	1571
17	56459	1660
18	56498	1756
19	56638	1856
20	56761	1957
21	57559	2082
22	57930	2195
23	58352	2311
24	58363	2411
25	58245	2507
26	58088	2600
27	57957	2695
28	57856	2791
29	57764	2888
30	57596	2980
31	57548	3079
32	57488	3177
33	57395	3274
34	57041	3355
35	56917	3449
36	56795	3543
37	56686	3638
38	56589	3734
39	56492	3830
40	56425	3927
41	56452	4032
42	56406	4132
43	56330	4229
44	56291	4330
45	56267	4432
46	56242	4534
47	56159	4631
48	56136	4734
49	56079	4834
50	56044	4936
51	56021	5040
52	55971	5141
53	55907	5241
54	55871	5344
55	55824	5446
56	55765	5547
57	55685	5646
58	55607	5745
59	55555	5847
60	55479	5947
61	55481	6056
62	55407	6156
63	55327	6256
64	55285	6360
65	55199	6459
66	55132	6561
67	55089	6665
68	55052	6771
69	54984	6873
70	54902	6973
71	54867	7079
72	54791	7180
73	54854	7300
74	54837	7410
75	54891	7530
76	54820	7633
77	54516	7703
78	54408	7800
79	54301	7898
80	54184	7994
81	54122	8098
82	54012	8195
83	53921	8295
84	53832	8395
85	53752	8497
86	53756	8612
87	53686	8716
88	53638	8824
89	53553	8925
90	53498	9032
91	53422	9135
92	53330	9236
93	53267	9341
94	53204	9447
95	53193	9562
96	53184	9678
97	53157	9792
98	53056	9891
99	52955	9991
100	52886	10097
101	52781	10196
102	52671	10294
103	52575	10395
104	52482	10496
105	52386	10597
106	52289	10697
107	52194	10798
108	52092	10898
109	51994	10998
110	51898	11099
111	51798	11199
112	51700	11300
113	51609	11402
114	51500	11500
115	51393	11598
116	51291	11698
117	51193	11798
118	51108	11901
119	51001	12000
120	50941	12109
121	50880	12219
122	50827	12330
123	50740	12434
124	50639	12534
125	50530	12632
126	50433	12733
127	50324	12831
128	50216	12929
129	50129	13033
130	50016	13130
131	49922	13232
132	49837	13336
133	49740	13437
134	49629	13535
135	49527	13634
136	49410	13730
