iter	MAE
0	0.05262037171
1	0.05244219864
2	0.05233209314
3	0.05226166824
4	0.05222077112
5	0.05217328793
6	0.05212938056
7	0.05210842167
8	0.05208494039
9	0.05207018187
10	0.05203672391
11	0.05202167227
12	0.05200153828
13	0.05198894015
14	0.05197376167
15	0.05196139527
16	0.05194923207
17	0.05193979631
18	0.05192633067
19	0.05191487865
20	0.05189440744
21	0.05187882638
22	0.05187178604
23	0.05185806189
24	0.05184958787
25	0.05184405578
26	0.05183280583
27	0.0518115798
28	0.05180408914
29	0.05179425022
30	0.05178503942
31	0.05177218524
32	0.05176449727
33	0.05176003312
34	0.05175868848
35	0.05174908179
36	0.05173537232
37	0.05172874173
38	0.05172037962
39	0.05171346122
40	0.05170573461
41	0.05169807948
42	0.05169112748
43	0.05168726257
44	0.05168031925
45	0.05167298142
46	0.05166233113
47	0.05165524814
48	0.05164766742
49	0.05163862706
50	0.05163357142
51	0.05162753098
52	0.05162153311
53	0.05161868342
54	0.05161065217
55	0.05160479616
56	0.05159943663
57	0.05159538998
58	0.05159078324
59	0.05158555323
60	0.05158284138
61	0.05158159804
62	0.0515786946
63	0.05157621572
64	0.05157064354
65	0.05156596627
66	0.0515625727
67	0.05155577295
68	0.05154752919
69	0.05154346316
70	0.05153989545
71	0.05153610918
72	0.0515322275
73	0.05152862036
74	0.05152583491
75	0.05152150841
76	0.05151600886
77	0.05151489105
78	0.05150672956
79	0.05150008203
80	0.05149596587
81	0.05149330547
82	0.05148930975
83	0.05148337025
84	0.05148222943
85	0.05147462222
86	0.0514666653
87	0.05146528178
88	0.05146380798
89	0.05145955973
90	0.05145499166
91	0.0514471478
92	0.05143991147
93	0.05143734541
94	0.05143426982
95	0.05143007005
96	0.05142655927
97	0.0514244656
98	0.05142142242
99	0.05141960743
100	0.05141644836
101	0.05141240221
102	0.05140917002
103	0.05140642215
104	0.05140271332
105	0.05139806517
106	0.05139384024
107	0.05138690027
108	0.05138541213
109	0.05138239451
110	0.05137910848
111	0.05137542979
112	0.05136982918
113	0.05136699112
114	0.05136202372
115	0.05136056433
116	0.05135767234
117	0.05135228791
118	0.051348054
119	0.05134298122
120	0.05133733754
121	0.0513346009
122	0.05133225664
123	0.05133098336
124	0.05132714051
125	0.05132546535
126	0.05132433107
127	0.05132220838
128	0.05132047401
129	0.05131582909
130	0.05131456482
131	0.05131112828
132	0.0513091998
133	0.05130610142
134	0.05130013629
135	0.05129893396
136	0.05129703677
137	0.05129306361
138	0.05128977152
139	0.05128546396
140	0.05127741833
141	0.0512729126
